"enumrtr","lga","ward","village","subvillage","under_18","HH_size","dogs","puppies","Land.Use","longitude","latitude","precision"
80,"Butiama DC","Kyanyari",10,46,2,4,0,1,"Built",33.7875484691773,-1.82668537859566,4.9
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7875702186705,-1.82233270995143,4.56
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7892708800067,-1.82390464974009,4.8
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7903247884611,-1.82333492884805,4.48
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7903071634549,-1.82458024353996,4.2
511,"Butiama DC","Kyanyari",10,632,2,4,0,0,"Built",33.7912914636456,-1.82492781639944,4.74
80,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7905531118886,-1.82367081908928,4.6
391,"Butiama DC","Kyanyari",10,125,2,4,0,0,"Built",33.7902138282924,-1.82596582511643,4.18
174,"Rorya DC","Kigunga",58,182,2,4,1,0,"Built",34.0913845481628,-1.26365467888718,1.185
174,"Rorya DC","Kigunga",58,182,2,4,0,0,"Built",34.0899576084146,-1.26368391136509,3.9
174,"Rorya DC","Kigunga",58,182,2,4,0,0,"Built",34.091833157002,-1.26463137677922,0.803
12,"Bunda DC","Neruma",11,180,2,4,0,0,"Built",33.5112187617847,-2.15724078484629,4.84
83,"Rorya DC","Kigunga",58,182,2,4,0,2,"Built",34.0969621453122,-1.26113857419257,4.786
28,"Bunda DC","Kisorya",24,246,2,4,0,0,"Built",33.2169448311514,-2.10249910740183,4.854
28,"Bunda DC","Kisorya",24,246,2,4,0,0,"Built",33.2156768709961,-2.10209095960022,4.551
28,"Bunda DC","Kisorya",24,246,2,4,0,0,"Built",33.2152785141064,-2.10256208546968,4.551
28,"Bunda DC","Kisorya",24,246,2,4,0,0,"Built",33.2111640241383,-2.10799953076813,4.803
23,"Serengeti DC","Rungabure",20,220,2,4,3,1,"Built",34.6028368638267,-1.73734308197454,4.738
23,"Serengeti DC","Rungabure",20,220,2,4,1,0,"Built",34.6039261530758,-1.73943352390111,5
23,"Serengeti DC","Rungabure",20,220,2,4,0,0,"Built",34.6038557423768,-1.74010458399787,4.275
23,"Serengeti DC","Rungabure",20,220,2,4,0,0,"Built",34.6047687520442,-1.7393357644252,4.86
23,"Serengeti DC","Rungabure",20,220,2,4,2,0,"Built",34.6058357263423,-1.74073512451056,5
211,"Tarime TC","Nyatondo",92,398,2,4,2,1,"Built",34.359559713905,-1.36106557108019,5.42
211,"Tarime TC","Nyatondo",92,398,2,4,3,0,"Built",34.3618526131593,-1.356979316361,9.2
12,"Bunda DC","Neruma",11,18,2,4,0,0,"Built",33.5107574769514,-2.16237213192528,4.875
12,"Bunda DC","Neruma",11,18,2,4,0,0,"Built",33.5110718965667,-2.16307449018804,4.1
12,"Bunda DC","Neruma",11,18,2,4,0,0,"Built",33.5127756319298,-2.16372851231353,5
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7772931790263,-1.53722664971741,4.38
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7771285179092,-1.53694767088192,4.7
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7757799154125,-1.53983775510299,4.22
133,"Musoma MC","Buhare",14,22,2,4,0,0,"Built",33.7758177524402,-1.53849751015639,4.7
133,"Musoma MC","Buhare",14,633,2,4,2,0,"Built",33.7767132220551,-1.54117020185519,4.866
133,"Musoma MC","Buhare",14,22,2,4,0,1,"Built",33.7792654766517,-1.54168146400874,3.9
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7776782140463,-1.54284078478887,4.02
133,"Musoma MC","Buhare",14,22,2,4,0,1,"Built",33.7790908065325,-1.53595113882605,4.85
133,"Musoma MC","Buhare",14,22,2,4,1,0,"Built",33.7784618332574,-1.5349695871584,3.98
133,"Musoma MC","Buhare",14,22,2,4,2,0,"Built",33.7819528308954,-1.53210963712805,4.914
